0, -800, 597, 1500, 100
2, 500, 569, 64, 28
6, 850, 480, 100, 35
6, 1050, 400, 100, 35
0, 1200, 597, 1500, 100
1, 1300, 450, 64, 64
4, 1600, 565, 32, 32
4, 1632, 565, 32, 32
4, 1664, 565, 32, 32
5, 1700, 555, 46, 42
4, 2100, 565, 32, 32
3, 2300, 469, 32, 128
3, 2400, 469, 32, 128
3, 2500, 469, 32, 128
6, 2800, 480, 80, 35
6, 2950, 350, 80, 35
1, 3150, 450, 64, 64
0, 3100, 597, 2000, 100
2, 3300, 569, 64, 28
2, 3364, 569, 64, 28
5, 3500, 555, 46, 42
6, 4050, 480, 170, 35 
1, 3950, 520, 64, 64
1, 4100, 520, 64, 64
1, 4250, 520, 64, 64
4, 4400, 565, 32, 32
2, 4600, 569, 64, 28
2, 4800, 569, 64, 28
4, 5000, 565, 32, 32
6, 5250, 450, 64, 35
6, 5400, 320, 64, 35
6, 5600, 450, 64, 35
0, 5800, 597, 2000, 100
3, 6000, 469, 32, 128
3, 6050, 469, 32, 128
3, 6100, 469, 32, 128
4, 6400, 565, 32, 32
5, 6600, 555, 46, 42
2, 7000, 569, 64, 28
